model-1608851053,1608851651.405,0.59,0.2329,0.68,0.2206
model-1608851053,1608851652.16,0.59,0.2315,0.67,0.2193
model-1608851053,1608851652.838,0.67,0.2075,0.67,0.2204
model-1608851053,1608851653.562,0.61,0.2294,0.61,0.2276
model-1608851053,1608851654.261,0.61,0.2308,0.67,0.2235
model-1608851053,1608851654.885,0.68,0.2108,0.68,0.2204
model-1608851053,1608851655.567,0.62,0.2424,0.62,0.2291
model-1608851053,1608851656.236,0.57,0.2388,0.6,0.2329
model-1608851053,1608851656.846,0.74,0.1956,0.6,0.2312
model-1608851053,1608851657.521,0.61,0.2349,0.66,0.2219
model-1608851053,1608851658.277,0.66,0.222,0.67,0.219
model-1608851053,1608851659.258,0.6,0.2325,0.69,0.2191
model-1608851053,1608851659.984,0.59,0.2267,0.68,0.2189
model-1608851053,1608851660.726,0.73,0.2023,0.67,0.2195
model-1608851053,1608851661.377,0.69,0.2124,0.65,0.2208
model-1608851053,1608851661.998,0.57,0.2337,0.65,0.2214
model-1608851053,1608851662.625,0.65,0.2218,0.66,0.2216
model-1608851053,1608851663.265,0.62,0.226,0.66,0.2224
model-1608851053,1608851664.057,0.69,0.2117,0.66,0.2228
model-1608851053,1608851664.814,0.64,0.2127,0.67,0.2212
model-1608851053,1608851665.444,0.59,0.2357,0.65,0.2195
model-1608851053,1608851666.146,0.74,0.1961,0.66,0.22
model-1608851053,1608851666.811,0.6,0.2362,0.64,0.2228
model-1608851053,1608851667.451,0.64,0.2222,0.63,0.2291
model-1608851053,1608851668.163,0.65,0.2248,0.63,0.227
model-1608851053,1608851668.832,0.58,0.2461,0.65,0.2179
model-1608851053,1608851669.488,0.57,0.2406,0.64,0.2205
model-1608851053,1608851670.547,0.68,0.2064,0.57,0.2303
model-1608851053,1608851671.388,0.6,0.2384,0.58,0.2279
model-1608851053,1608851672.007,0.64,0.2221,0.62,0.2225
model-1608851053,1608851672.698,0.55,0.2202,0.67,0.2191
model-1608851053,1608851673.393,0.62,0.2305,0.66,0.2184
model-1608851053,1608851674.041,0.67,0.2119,0.66,0.2185
model-1608851053,1608851674.664,0.6,0.2439,0.65,0.2189
model-1608851053,1608851675.31,0.57,0.2307,0.68,0.2195
model-1608851053,1608851675.944,0.56,0.2365,0.63,0.2221
model-1608851053,1608851676.738,0.66,0.2245,0.64,0.2222
model-1608851053,1608851677.48,0.66,0.2047,0.67,0.2193
model-1608851053,1608851678.118,0.65,0.2348,0.68,0.2174
model-1608851053,1608851678.784,0.69,0.2161,0.66,0.2197
model-1608851053,1608851679.406,0.68,0.2,0.65,0.2212
model-1608851053,1608851680.03,0.6,0.2313,0.67,0.2136
model-1608851053,1608851680.695,0.7,0.211,0.67,0.2114
model-1608851053,1608851681.436,0.71,0.2114,0.66,0.2128
model-1608851053,1608851682.154,0.7,0.217,0.67,0.2137
model-1608851053,1608851682.868,0.64,0.2212,0.67,0.2142
model-1608851053,1608851683.52,0.67,0.2025,0.66,0.2129
model-1608851053,1608851684.379,0.64,0.2113,0.7,0.2134
model-1608851053,1608851685.043,0.61,0.2367,0.68,0.212
model-1608851053,1608851685.687,0.55,0.2661,0.66,0.2134
model-1608851053,1608851686.41,0.62,0.2239,0.65,0.2151
model-1608851053,1608851687.068,0.66,0.207,0.68,0.2198
model-1608851053,1608851687.698,0.66,0.2145,0.67,0.2261
model-1608851053,1608851688.393,0.67,0.2294,0.66,0.2271
model-1608851053,1608851689.197,0.67,0.2317,0.65,0.2266
model-1608851053,1608851689.826,0.67,0.2178,0.64,0.2279
model-1608851053,1608851690.469,0.63,0.2041,0.64,0.2263
model-1608851053,1608851691.151,0.67,0.2187,0.67,0.2238
model-1608851053,1608851691.874,0.69,0.2078,0.62,0.2233
model-1608851053,1608851692.523,0.63,0.2227,0.64,0.2202
model-1608851053,1608851693.178,0.56,0.2469,0.68,0.2134
model-1608851053,1608851693.841,0.62,0.2228,0.7,0.2085
model-1608851053,1608851694.686,0.64,0.2207,0.7,0.2067
model-1608851053,1608851695.354,0.69,0.1908,0.68,0.2064
